Fra_dato;Til_dato;Maengde;Maaleenhed
24-05-2020 08:00:00;24-05-2020 09:00:00;0.769;KWH
24-05-2020 09:00:00;24-05-2020 10:00:00;1.078;KWH
24-05-2020 10:00:00;24-05-2020 11:00:00;0.836;KWH
24-05-2020 11:00:00;24-05-2020 12:00:00;0.986;KWH
24-05-2020 12:00:00;24-05-2020 13:00:00;1.688;KWH
24-05-2020 13:00:00;24-05-2020 14:00:00;1.393;KWH
24-05-2020 14:00:00;24-05-2020 15:00:00;1.116;KWH
24-05-2020 15:00:00;24-05-2020 16:00:00;1.088;KWH
24-05-2020 16:00:00;24-05-2020 17:00:00;1.202;KWH
24-05-2020 17:00:00;24-05-2020 18:00:00;0.439;KWH
24-05-2020 18:00:00;24-05-2020 19:00:00;0.366;KWH
24-05-2020 19:00:00;24-05-2020 20:00:00;0.102;KWH
24-05-2020 20:00:00;24-05-2020 21:00:00;0;KWH
24-05-2020 21:00:00;24-05-2020 22:00:00;0;KWH
24-05-2020 22:00:00;24-05-2020 23:00:00;0;KWH
24-05-2020 23:00:00;25-05-2020 00:00:00;0;KWH
25-05-2020 00:00:00;25-05-2020 01:00:00;0;KWH
25-05-2020 01:00:00;25-05-2020 02:00:00;0;KWH
25-05-2020 02:00:00;25-05-2020 03:00:00;0;KWH
25-05-2020 03:00:00;25-05-2020 04:00:00;0;KWH
25-05-2020 04:00:00;25-05-2020 05:00:00;0;KWH
25-05-2020 05:00:00;25-05-2020 06:00:00;0.002;KWH
25-05-2020 06:00:00;25-05-2020 07:00:00;0.065;KWH
25-05-2020 07:00:00;25-05-2020 08:00:00;0.099;KWH
25-05-2020 08:00:00;25-05-2020 09:00:00;0.45;KWH
25-05-2020 09:00:00;25-05-2020 10:00:00;0.502;KWH
25-05-2020 10:00:00;25-05-2020 11:00:00;1.245;KWH
25-05-2020 11:00:00;25-05-2020 12:00:00;1.191;KWH
25-05-2020 12:00:00;25-05-2020 13:00:00;0.826;KWH
25-05-2020 13:00:00;25-05-2020 14:00:00;0.684;KWH
25-05-2020 14:00:00;25-05-2020 15:00:00;1.147;KWH
25-05-2020 15:00:00;25-05-2020 16:00:00;1.966;KWH
25-05-2020 16:00:00;25-05-2020 17:00:00;1.87;KWH
25-05-2020 17:00:00;25-05-2020 18:00:00;1.462;KWH
25-05-2020 18:00:00;25-05-2020 19:00:00;0.936;KWH
25-05-2020 19:00:00;25-05-2020 20:00:00;0.291;KWH
25-05-2020 20:00:00;25-05-2020 21:00:00;0.024;KWH
25-05-2020 21:00:00;25-05-2020 22:00:00;0;KWH
25-05-2020 22:00:00;25-05-2020 23:00:00;0;KWH
25-05-2020 23:00:00;26-05-2020 00:00:00;0;KWH
26-05-2020 00:00:00;26-05-2020 01:00:00;0;KWH
26-05-2020 01:00:00;26-05-2020 02:00:00;0;KWH
26-05-2020 02:00:00;26-05-2020 03:00:00;0;KWH
26-05-2020 03:00:00;26-05-2020 04:00:00;0;KWH
26-05-2020 04:00:00;26-05-2020 05:00:00;0;KWH
26-05-2020 05:00:00;26-05-2020 06:00:00;0.006;KWH
26-05-2020 06:00:00;26-05-2020 07:00:00;0.14;KWH
26-05-2020 07:00:00;26-05-2020 08:00:00;0.65;KWH
