Fra_dato;Til_dato;Maengde;Maaleenhed
24-05-2020 01:00:00;24-05-2020 02:00:00;0.089;KWH
24-05-2020 02:00:00;24-05-2020 03:00:00;0.095;KWH
24-05-2020 03:00:00;24-05-2020 04:00:00;0.097;KWH
24-05-2020 04:00:00;24-05-2020 05:00:00;0.091;KWH
24-05-2020 05:00:00;24-05-2020 06:00:00;0.071;KWH
24-05-2020 06:00:00;24-05-2020 07:00:00;0.071;KWH
24-05-2020 07:00:00;24-05-2020 08:00:00;0.577;KWH
24-05-2020 08:00:00;24-05-2020 09:00:00;0.184;KWH
24-05-2020 09:00:00;24-05-2020 10:00:00;0.057;KWH
24-05-2020 10:00:00;24-05-2020 11:00:00;0.608;KWH
24-05-2020 11:00:00;24-05-2020 12:00:00;0.596;KWH
24-05-2020 12:00:00;24-05-2020 13:00:00;0.078;KWH
24-05-2020 13:00:00;24-05-2020 14:00:00;0.086;KWH
24-05-2020 14:00:00;24-05-2020 15:00:00;1.725;KWH
24-05-2020 15:00:00;24-05-2020 16:00:00;0.19;KWH
24-05-2020 16:00:00;24-05-2020 17:00:00;0.107;KWH
24-05-2020 17:00:00;24-05-2020 18:00:00;0.213;KWH
24-05-2020 18:00:00;24-05-2020 19:00:00;0.307;KWH
24-05-2020 19:00:00;24-05-2020 20:00:00;0.608;KWH
24-05-2020 20:00:00;24-05-2020 21:00:00;0.201;KWH
24-05-2020 21:00:00;24-05-2020 22:00:00;0.187;KWH
24-05-2020 22:00:00;24-05-2020 23:00:00;0.122;KWH
24-05-2020 23:00:00;25-05-2020 00:00:00;0.106;KWH
25-05-2020 00:00:00;25-05-2020 01:00:00;0.081;KWH
25-05-2020 01:00:00;25-05-2020 02:00:00;0.102;KWH
25-05-2020 02:00:00;25-05-2020 03:00:00;0.098;KWH
25-05-2020 03:00:00;25-05-2020 04:00:00;0.102;KWH
25-05-2020 04:00:00;25-05-2020 05:00:00;0.093;KWH
25-05-2020 05:00:00;25-05-2020 06:00:00;0.077;KWH
25-05-2020 06:00:00;25-05-2020 07:00:00;0.056;KWH
25-05-2020 07:00:00;25-05-2020 08:00:00;0.066;KWH
25-05-2020 08:00:00;25-05-2020 09:00:00;0.183;KWH
25-05-2020 09:00:00;25-05-2020 10:00:00;0.503;KWH
25-05-2020 10:00:00;25-05-2020 11:00:00;0.14;KWH
25-05-2020 11:00:00;25-05-2020 12:00:00;0.124;KWH
25-05-2020 12:00:00;25-05-2020 13:00:00;0.162;KWH
25-05-2020 13:00:00;25-05-2020 14:00:00;0.128;KWH
25-05-2020 14:00:00;25-05-2020 15:00:00;0.125;KWH
25-05-2020 15:00:00;25-05-2020 16:00:00;0.151;KWH
25-05-2020 16:00:00;25-05-2020 17:00:00;0.074;KWH
25-05-2020 17:00:00;25-05-2020 18:00:00;0.072;KWH
25-05-2020 18:00:00;25-05-2020 19:00:00;0.138;KWH
25-05-2020 19:00:00;25-05-2020 20:00:00;0.031;KWH
25-05-2020 20:00:00;25-05-2020 21:00:00;0.192;KWH
25-05-2020 21:00:00;25-05-2020 22:00:00;0.187;KWH
25-05-2020 22:00:00;25-05-2020 23:00:00;0.443;KWH
